2025-07-19 19:56:41.150406 | USB access denied | Intruder
2025-07-19 19:56:44.960033 | Photo captured | Success
2025-07-19 19:56:48.392100 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31cb5c5da0csm4686928a91.25 - gsmtp') | Fail
2025-07-19 19:58:03.225091 | Plain test email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23e3b6f19d0sm29731075ad.207 - gsmtp') | Fail
2025-07-19 19:58:09.555243 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:59:11.707144 | Plain test email sent | Success
2025-07-19 19:59:27.543312 | Monitor started | Info
2025-07-19 19:59:33.416084 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:59:34.205340 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 19:59:41.158215 | USB access denied | Intruder
2025-07-19 19:59:46.440686 | Photo captured | Success
2025-07-19 19:59:51.266853 | Email sent | Success
2025-07-19 20:03:13.733085 | Monitor started | Info
2025-07-19 20:03:16.513420 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 20:03:22.414196 | USB access denied | Intruder
2025-07-19 20:03:27.252923 | Photo captured | Success
2025-07-19 20:03:32.869313 | Email sent | Success
2025-07-19 20:03:42.357214 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 20:03:54.302702 | USB access denied | Intruder
2025-07-19 20:03:58.202106 | Photo captured | Success
2025-07-19 20:07:49.190262 | Monitor started | Info
2025-07-19 20:07:51.915078 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 20:07:59.985837 | USB access denied | Intruder
2025-07-19 20:08:04.856190 | Photo captured | Success
2025-07-19 20:08:09.837569 | Email sent | Success
2025-07-19 20:35:32.679212 | Monitor started | Info
2025-07-19 20:35:38.122626 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 20:35:47.471143 | USB access denied | Intruder
2025-07-19 20:35:51.960449 | Photo captured | Success
2025-07-19 20:35:58.138851 | Email sent | Success
2025-07-19 20:36:40.579297 | Monitor started | Info
2025-07-19 20:36:44.695988 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 20:36:51.363684 | USB access denied | Intruder
2025-07-19 20:36:54.724310 | Photo captured | Success
2025-07-19 20:37:00.646922 | Email sent | Success
2025-07-19 22:08:29.360858 | Monitor started | Info
2025-07-19 22:08:33.417300 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 22:08:46.560253 | USB access denied | Intruder
2025-07-19 22:08:51.225361 | Photo captured | Success
2025-07-19 22:08:57.037012 | Email sent | Success
2025-07-19 22:09:11.924206 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 22:09:41.303029 | USB access denied | Intruder
2025-07-19 22:09:44.302194 | Photo captured | Success
2025-07-19 22:09:48.892401 | Email sent | Success
2025-07-19 22:10:47.195799 | Monitor started | Info
2025-07-19 22:10:52.648645 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-19 22:10:58.800733 | USB access denied | Intruder
2025-07-19 22:11:02.315328 | Photo captured | Success
2025-07-19 22:11:09.434178 | Email sent | Success
2025-07-20 08:12:34.661354 | Monitor started | Info
2025-07-20 08:12:38.657210 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:13:38.991678 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:17:12.600133 | USB access denied | Intruder
2025-07-20 08:17:23.860566 | Photo captured | Success
2025-07-20 08:17:29.865351 | Email sent | Success
2025-07-20 08:20:58.029576 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:21:25.215901 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:25:39.575294 | Monitor started | Info
2025-07-20 08:25:42.659988 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:26:04.533382 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:27:12.201565 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 08:29:32.054693 | Monitor started | Info
2025-07-20 08:29:39.002477 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 10:29:26.928781 | Monitor started | Info
2025-07-20 10:29:51.525205 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 10:29:59.813489 | USB access denied | Intruder
2025-07-20 10:31:16.888327 | Monitor started | Info
2025-07-20 10:31:51.748667 | USB device detected: USBSTOR\DISK&VEN_SANDISK&PROD_CRUZER_BLADE&REV_1.00\03003006101924124202&0 | Detected
2025-07-20 10:45:59.384185 | Enable attempt failed - wrong password | Intruder
2025-07-20 10:46:05.482701 | Photo captured | Success
2025-07-20 10:46:10.638924 | Email sent | Success
2025-07-20 10:47:06.133083 | USB enabled after auth | Success
2025-07-20 10:47:06.207865 | Fatal error: name 'monitor_usb' is not defined | Fail
2025-07-20 10:48:50.907707 | USB enabled after auth | Success
2025-07-20 10:48:50.944650 | Monitor started | Info
2025-07-20 10:50:25.874905 | USB enabled after auth | Success
2025-07-20 10:50:25.903589 | Monitor started | Info
